priority,clinic,doctor,area,type,address,phone,email,batch_code,status,source
A,Bliss White Dental Studio,Dr. Roshan,HSR Layout Sector 2,independent,"Ground Floor, 19th Main, 27th Cross Road, opp. BSR Mantralaya, Sector 2, HSR Layout, Bengaluru 560102",+91 99640 40800,info@blisswhitedentalstudio.com,,address from clinic website — confirm on Maps before courier,blisswhitedentalhsr.com
B,The Smile Architect Dental Care,Dr. Samadnya Jawalekar / Dr. Keerthi T,HSR Layout Sector 2,independent,"2nd Floor, 27th Main Road, above Louis Philippe store, Sector 2, HSR Layout, Bengaluru 560102",,,,address from Justdial — confirm on Maps before courier,Practo / Justdial
A,The Dentist's,Dr. Nakul B K,HSR Layout Sector 2 (+ KR Puram branch),independent (est. 2004),"192, 1st Floor, 27th Main Rd, 20th Cross Junction, above DTDC, Sector 2, HSR Layout, Bengaluru 560102",,,,address from Justdial/Eka Care — confirm on Maps before courier,thedentist.co.in / Justdial
B,Hyrax Dental Multi Speciality Clinic,(fill from site),HSR Layout Sector 1,independent,"982, Ground Floor, 7th Cross, 24th Main Rd, Sector 1, HSR Layout, Bengaluru 560102",,,,address from directory — confirm on Maps before courier,hyraxdental.8b.io / web search
B,Bangalore Dental Specialists,Dr. Abhishek Somani / Dr. Vinitha Agarwal,HSR Layout Sector 2,independent,"Building No. 1656, 27th Main Rd, above Ramraj, Parangi Palaya, Sector 2, HSR Layout, Bengaluru 560102",+91 8956781555,,,address from clinic website — confirm on Maps before courier,bangaloredentalspecialists.com
A,JP Dental Clinic,Dr. Jigna / Dr. Padma,Jayanagar 8th Block,independent,"1st Floor, SRIDS Arcade, 46th Cross Rd, 8th Block, Jayanagar, Bengaluru 560070","+91 97312 40612 / +91 80959 39038 / 080-41200625",jpdental21@gmail.com,,address from clinic website — confirm on Maps before courier,jpdentalclinic.co.in
A,Jayanagar Dental Clinic,(est. 1978 — fill current lead doctor),Jayanagar 3rd Block,independent,"20, 1st Floor, 9th Main Road, opp. Hotel Pai Viceroy, Jayanagar 3rd Block, Bengaluru 560011",,,,address from Practo/Drlogy — confirm on Maps before courier,jayanagardentalclinic.com / Practo
A,Dentistree Advanced Dental & Implant Center,(fill from site),Arekere (near JP Nagar / Bannerghatta Rd),independent,"202, 1st Main Rd, Arekere MICO Layout 2nd Stage, Arekere, Bengaluru 560076",09513464505,dentistree.bangalore@gmail.com,,address from clinic website — confirm on Maps before courier,dentistreebangalore.com
A,Nagu Dental Clinic,Dr. Nagesh (+ Dr. Namratha / Dr. Navya),JP Nagar 5th Phase,independent,"1st Floor, 24th Main Rd, 16th Cross, opp. Nandhini Hotel, 5th Phase, JP Nagar, Bengaluru 560078",+91 9845498379,nagusmile789@gmail.com,,address from clinic website — confirm on Maps before courier,nagudental.com
A,Manya Dental,"Dr. Archana P / Dr. Yamini Manoj / Dr. Sangeetha S",Malleshwaram (Margosa Rd),independent (multi-branch),"Ground Floor, 7, 17th Cross, Margosa Rd, Malleshwaram, Bengaluru 560003",72045 14222,appointments@manyadental.in,,address from clinic website — confirm on Maps before courier,manyadental.in
B,Bangalore Dental Clinic,Dr. Dhanu,Rajajinagar 3rd Block,independent,"#307, Charu Amethyst, 17th C Cross, 3rd Block, Rajajinagar, Bengaluru","(fill from Practo)",,,address from Practo — confirm on Maps before courier,Practo
A+,32 Smiles Multispeciality Dental Clinics (HQ pitch),Dr. Naveen Indla / Dr. S. Preethi Naidu,"8 branches citywide",8-branch group — pitch PROFESSIONAL ₹4999,"Marathahalli: #92/3 1st Floor, Innovative Multiplex Rd, Outer Ring Rd, Bengaluru 560037 · Whitefield: No.115 1st Floor, Channasandra Main Rd, Bengaluru 560067","(fill from site)",,,courier ONE kit to Marathahalli branch marked attn Dr. Naveen Indla,32smilesdentalclinics.com
A,Smylife Dental,Dr. Venkatesh Garla,Sarjapur Main Road,independent,"#303, 3rd Floor, Saket Callipolis Commercial, above Zudio, near Wipro Corporate Office, Sarjapur Main Road, Bengaluru 560035",,,,address from clinic website — confirm on Maps before courier,smylifedental.co.in
A,Aditi Dental Care,Dr. Tripti,Sarjapur Road (Ambalipura),independent,"#955, Ambalipura, Sarjapura Road, Bengaluru 560102","+91 96119 80263 / 080-4164 3093",aditidentalcare@gmail.com,,address from clinic website — confirm on Maps before courier,aditidentalcare.com
A,Rootz Dental Clinic (Bellandur),Dr. Tanvi V. Nair,Bellandur (Devarabisanahalli) + Sarjapur branch,independent (2 branches),"55/2, 1st Floor, near Vinayaka Temple, opp. Sakra World Hospital, Devarabisanahalli, Bengaluru 560103","+91 8044323587 / Bellandur +91 74830 77379 / Sarjapur +91 84313 75741",rootzbellandur@gmail.com,,address from clinic website — confirm on Maps before courier,rootzdental.co.in
A,Dental Profiles,Dr. Ramakrishna / Dr. Shilpashree,Bellandur (Doddakannelli),independent,"100, SJR Complex, Doddakannelli–Kaadubeesanahalli Road, near Adarsh Palm Retreat Villa Ph 3, Bengaluru",,,,address from Practo — confirm on Maps before courier,Practo
B,Procure Dental Care,(fill from site),Bellandur,independent (multi-branch),"GRS Tower, Sarjapur–Marathahalli Road, Bellandur, Bengaluru 560102","+91 6363300602 / +91 6364890012 / appts +91 9731568006",info@procuredental.co.in,,address from clinic website — confirm on Maps before courier,procuredental.co.in
A,Manya Dental (Bannerghatta Rd),Manya Dental team,Bilekahalli / Bannerghatta Road,independent branch (same group as Malleshwaram),"Ground Floor, opp. Mantri Terrace, Ranka Colony, Off Bannerghatta Road, Bilekahalli, Bengaluru 560076",72045 14222,appointments@manyadental.in,,same group as Malleshwaram — one pitch covers both branches,manyadental.in
B,Revive Dental Care,(fill from site),Electronic City Phase 1,independent,"Electronic City Phase 1, Bengaluru 560100 (street address: look up)",,,,partial address — look up before courier,web search
A,Banashankari Dental Care & Surgery Centre,Dr. Nandeesh B S,Banashankari 3rd Stage,independent,"974, 4th Main Road, BDA Layout, Banashankari 3rd Stage, opp. 43-B Bus Stand, Hosakerehalli, Bengaluru 560085",,,,address from Justdial/Lybrate — confirm on Maps before courier,Justdial / Lybrate
B,Dental Health Clinic,(fill from site),Basavanagudi (Thyagarajanagar),independent,"#144, 2nd Main, 2nd Block, Thyagarajanagar, near 31E Bus Stop, Basavanagudi, Bengaluru",,,,address from Practo — confirm on Maps before courier,Practo
B,Dental Care Clinic,(fill from site),Basavanagudi,independent,"#14/1, Pattalamma Temple Road, near South End Circle, Basavanagudi, Bengaluru 560004",,,,address from Drlogy — confirm on Maps before courier,Drlogy
A,Aura Dental Square,(fill from site),Yelahanka (Attur Layout),independent,"#39, 6th Cross, Veerasagara Main Rd, Muneshwara Layout, Attur Layout, Yelahanka, Bengaluru 560064",,,,address from clinic website — confirm on Maps before courier,auradentalsquare.com
B,32's Ensured Multispeciality Dental Care,(fill from site),Sahakara Nagar,independent,"#494, 1st Floor, F Block, Byatarayanapura, Sahakara Nagar, Bengaluru",,,,address from directory — confirm on Maps before courier,Sulekha / Justdial
A,Fresh Breath Dental Clinic,Dr. Rajesh Naik,Kalyan Nagar 3rd Block,independent,"#5C-301/2, 5th Cross, 3rd Main, Kalyan Nagar 3rd Block, Bengaluru 560043","+91 9342767755 / 080-25445858",freshbreathdentalclinic@gmail.com,,address from clinic website — confirm on Maps before courier,freshbreathdentalclinic.in
A,THE DENTIST (Kammanahalli),Dr. Syed Tahseen Ahmed,Kalyan Nagar (HRBR 3rd Block),independent,"509, Kammanahalli Main Road, adjacent to McDonald's, HRBR Layout 3rd Block, Kalyan Nagar, Bengaluru 560043",,,,address from Click4Appointment — confirm on Maps before courier,click4appointment.com
A,Dr. Swaroop's Dental Care,Dr. Swaroop,Kammanahalli,independent,"10, 1st Floor, 60ft Road, 5th Main Rd, near Kullappa Circle, above Sendhoor Coffee, Kammanahalli, Bengaluru 560084",,,,address from clinic website — confirm on Maps before courier,drswaroopsdentalcare.in
B,Dental Den,(fill from site),Hennur Main Rd + Kammanahalli (2 branches),independent,"Clinic 1: 1st Floor, above ICICI Bank, opp. Indian Oil pump, Hennur Main Road, Bengaluru 560043 · Clinic 2: CMR Road, Kammanahalli, HRBR Layout",,,,address from clinic website — confirm on Maps before courier,dentalden.in
B,Oral Rehabilitation Center,(fill from site),Sivanchetti Gardens (Ulsoor/Frazer Town belt),independent,"9, Osborne Road, Hermit Colony, Sivanchetti Gardens, Bengaluru 560042",07406110333,,,address from clinic website — confirm on Maps before courier,oralrehabilitationcenter.com
B,Vijaynagar Dental Clinic,Dr. M Manjunath / Dr. Nethra,Vijayanagar,independent (est. 1983),"#948, 3rd Main, 3rd Cross, near Vijayanagar Telephone Exchange, Vijayanagar, Bengaluru 560040",,,,address from Justdial/Lybrate — confirm on Maps before courier,Practo / Justdial / Lybrate
A,LorVen Elite Microscopic Dental Clinic,(fill from site),Battarahalli (KR Puram–Whitefield corridor),independent,"1st Floor, Unique Corner, 20, Old Madras Rd, Sannatammanahalli, Battarahalli, Bengaluru 560049",+91 8550048485,lorvenelitedental@gmail.com,,address from clinic website — confirm on Maps before courier,lorvenelitedental.com
A,iDent Advanced Dental Solutions,Dr. Mohammad Thoyyib / Dr. Rohit,Kadugodi / Whitefield,independent,"3rd Floor, Apoorva Sai Kuteera Apt, Kadugodi, Seegehalli, Bengaluru 560067","7338000555 / 7022564989",,,address from clinic website — confirm on Maps before courier,theident.net.in
A,Radixx Dental Clinic,Dr. Naveen S Nair,Whitefield (Pattandur Agrahara),independent (20+ dentists — possible Professional pitch),"33/B & Katha No. 3787, White Rose Layout, Pattandur Agrahara, Whitefield, Bengaluru 560066",,,,address from Justdial — confirm on Maps before courier,radixxdentalwhitefield.in / Justdial
B,National Dental Care,(fill from site),Whitefield (ITPL Main Rd),small chain,"3rd Floor, Sy No. 220B, ITPL Main Rd, above Tulip Thai Spa, near Manipal Hospital, Whitefield, Bengaluru 560066",,,,small chain — lower priority than independents,nationaldentalcare.in
A,The Dental Surgery,Dr. Raphael Parambi,Ulsoor Road,independent (est. 1994),"307 W, 3rd Floor, Sunrise Chambers, 22 Ulsoor Road, near 1MG Mall, Bengaluru",,,,address from Practo — confirm on Maps before courier,Practo / Justdial
B,Sai Dental Clinic,(fill from site),Ulsoor,independent,"No. 16, Jaya Mansion, Sadashiva Mudaliar Street, Ulsoor, Bengaluru 560008",,,,address from Sulekha — confirm on Maps before courier,Sulekha
B,Dr. Patel Dental Clinic,Dr. Patel,Domlur 1st Stage,independent,"383, 1st Floor, above New Ram Medicals, 2nd Cross Rd, Domlur 1st Stage, Bengaluru 560071",,,,address from Justdial — confirm on Maps before courier,drpateldental.in / Justdial
skip,Partha Dental,large multi-state chain,Bannerghatta Rd / Electronic City / Basaveshwaranagar,chain — skip,—,,,,corporate chain — not a fit for courier kits,parthadental.com
skip,Clove Dental / Sabka Dentist / Apollo Dental / Dezy / Manipal,corporate chains,citywide,chain — skip,—,,,,corporate procurement — not a fit for courier kits,—
